fecha,turno,dia_semana,horario,cantidad
14/11/2019,siesta,jueves,De 14:45 hs. a 15:00 hs.,343
15/11/2019,siesta,viernes,De 14:45 hs. a 15:00 hs.,281
16/11/2019,siesta,sabado,De 14:45 hs. a 15:00 hs.,1
17/11/2019,siesta,domingo,De 14:45 hs. a 15:00 hs.,250
18/11/2019,siesta,lunes,De 14:45 hs. a 15:00 hs.,3
19/11/2019,siesta,martes,De 14:45 hs. a 15:00 hs.,238
20/11/2019,siesta,miercoles,De 14:45 hs. a 15:00 hs.,279
21/11/2019,siesta,jueves,De 14:45 hs. a 15:00 hs.,259
22/11/2019,siesta,viernes,De 14:45 hs. a 15:00 hs.,282
23/11/2019,siesta,sabado,De 14:45 hs. a 15:00 hs.,214
24/11/2019,siesta,domingo,De 14:45 hs. a 15:00 hs.,158
25/11/2019,siesta,lunes,De 14:45 hs. a 15:00 hs.,316
26/11/2019,siesta,martes,De 14:45 hs. a 15:00 hs.,305
27/11/2019,siesta,miercoles,De 14:45 hs. a 15:00 hs.,291
28/11/2019,siesta,jueves,De 14:45 hs. a 15:00 hs.,341
29/11/2019,siesta,viernes,De 14:45 hs. a 15:00 hs.,309
30/11/2019,siesta,sabado,De 14:45 hs. a 15:00 hs.,369
01/11/2019,siesta,viernes,De 15:00 hs. a 15:15 hs.,289
02/11/2019,siesta,sabado,De 15:00 hs. a 15:15 hs.,194
03/11/2019,siesta,domingo,De 15:00 hs. a 15:15 hs.,172
04/11/2019,siesta,lunes,De 15:00 hs. a 15:15 hs.,246
05/11/2019,siesta,martes,De 15:00 hs. a 15:15 hs.,256
06/11/2019,siesta,miercoles,De 15:00 hs. a 15:15 hs.,244
07/11/2019,siesta,jueves,De 15:00 hs. a 15:15 hs.,235
08/11/2019,siesta,viernes,De 15:00 hs. a 15:15 hs.,206
09/11/2019,siesta,sabado,De 15:00 hs. a 15:15 hs.,218
10/11/2019,siesta,domingo,De 15:00 hs. a 15:15 hs.,261
11/11/2019,siesta,lunes,De 15:00 hs. a 15:15 hs.,196
12/11/2019,siesta,martes,De 15:00 hs. a 15:15 hs.,257
13/11/2019,siesta,miercoles,De 15:00 hs. a 15:15 hs.,294
14/11/2019,siesta,jueves,De 15:00 hs. a 15:15 hs.,306
15/11/2019,siesta,viernes,De 15:00 hs. a 15:15 hs.,290
16/11/2019,siesta,sabado,De 15:00 hs. a 15:15 hs.,325
17/11/2019,siesta,domingo,De 15:00 hs. a 15:15 hs.,221
18/11/2019,siesta,lunes,De 15:00 hs. a 15:15 hs.,258
19/11/2019,siesta,martes,De 15:00 hs. a 15:15 hs.,220
20/11/2019,siesta,miercoles,De 15:00 hs. a 15:15 hs.,240
21/11/2019,siesta,jueves,De 15:00 hs. a 15:15 hs.,245
22/11/2019,siesta,viernes,De 15:00 hs. a 15:15 hs.,248
23/11/2019,siesta,sabado,De 15:00 hs. a 15:15 hs.,189
24/11/2019,siesta,domingo,De 15:00 hs. a 15:15 hs.,174
25/11/2019,siesta,lunes,De 15:00 hs. a 15:15 hs.,297
